Date,canada_cases,japan_cases,italy_cases,uk_cases,germany_cases,france_cases,canada_1lag,japan_1lag,italy_1lag,uk_1lag,germany_1lag,france_1lag,canada_2lag,japan_2lag,italy_2lag,uk_2lag,germany_2lag,france_2lag,canada_3lag,japan_3lag,italy_3lag,uk_3lag,germany_3lag,france_3lag,canada_ma,japan_ma,italy_ma,uk_ma,germany_ma,france_ma,canada_pt,japan_pt,italy_pt,uk_pt,germany_pt,france_pt,dow
2020-03-13T00:00:00.000+0000,74,62,2547,342,1597,1380,9,0,2651,0,170,0,29,58,2313,74,451,497,2,70,977,61,281,575,20.285714285714285,40.142857142857146,1860.5714285714287,90.71428571428571,429.2857142857143,429.7142857142857,-0.9497344673985206,0.024812128400794702,0.8270963066487084,-0.8251502350531096,0.7413642216074182,0.6178238214570435,6
2020-03-14T00:00:00.000+0000,5,72,3497,342,910,808,74,62,2547,342,1597,1380,9,0,2651,0,170,0,29,58,2313,74,451,497,20.285714285714285,44.57142857142857,2182,133.42857142857142,540.8571428571429,502.85714285714283,-1.1099462566248317,0.15626373879021477,1.1621223430392809,-0.8251502350531096,0.20207208236715374,0.13747018832903563,7
2020-03-15T00:00:00.000+0000,54,66,3590,0,1210,30,5,72,3497,342,910,808,74,62,2547,342,1597,1380,9,0,2651,0,170,0,26.571428571428573,48.142857142857146,2481.714285714286,123.85714285714286,679.2857142857143,481.85714285714283,-0.9953179103014187,0.07875257398895981,1.1890612841154073,-1.1086165292842407,0.46852815440678197,-0.9593507756657458,1
2020-03-16T00:00:00.000+0000,163,0,3233,403,1477,2134,54,66,3590,0,1210,30,5,72,3497,342,910,808,74,62,2547,342,1597,1380,48,46.857142857142854,2686.8571428571427,174.57142857142858,870.8571428571429,774.8571428571429,-0.7548247575440687,-1.1103195453342432,1.0805761608496058,-0.7776838814350913,0.6640759830473757,1.024828332311457,2
2020-03-17T00:00:00.000+0000,57,39,3526,407,1985,1019,163,0,3233,403,1477,2134,54,66,3590,0,1210,30,5,72,3497,342,910,808,55.857142857142854,42.42857142857143,3051,224,1114.2857142857142,838.2857142857143,-0.9884368604129308,-0.3246713969346165,1.1706181031290896,-0.7746020009793553,0.954377205054419,0.33775921618354826,3
2020-03-18T00:00:00.000+0000,178,11,4207,676,3070,1391,57,39,3526,407,1985,1019,163,0,3233,403,1477,2134,54,66,3590,0,1210,30,77.14285714285714,35.714285714285715,3321.5714285714284,310,1488.4285714285713,966,-0.72318951784978,-0.8595323341813708,1.3474062692864002,-0.5755801628501427,1.3429836901580479,0.6253116722079027,4
2020-03-19T00:00:00.000+0000,143,35,5322,63,2993,1828,178,11,4207,676,3070,1391,57,39,3526,407,1985,1019,163,0,3233,403,1477,2134,96.28571428571429,40.714285714285715,3703.1428571428573,319,1891.7142857142858,1227.142857142857,-0.7975353311779435,-0.393042097232232,1.5638876912183184,-1.0540649364149022,1.322601554587981,0.8827556300384809,5
2020-03-20T00:00:00.000+0000,142,39,5909,1294,4528,1741,143,35,5322,63,2993,1828,178,11,4207,676,3070,1391,57,39,3526,407,1985,1019,106,37.42857142857143,4183.428571428572,455,2310.4285714285716,1278.7142857142858,-0.7996869927955879,-0.3246713969346165,1.6516027240899522,-0.1724081406180088,1.6079663561864055,0.8371480334540009,6
2020-03-21T00:00:00.000+0000,334,44,5909,1035,2365,1670,142,39,5909,1294,4528,1741,143,35,5322,63,2993,1828,178,11,4207,676,3070,1391,153,33.42857142857143,4528,554,2518.285714285714,1401.857142857143,-0.41298247266221694,-0.24256436304789117,1.6516027240899522,-0.33301175014447465,1.1190624709206982,0.7980020912392239,7
2020-03-22T00:00:00.000+0000,189,94,5560,665,2660,1736,334,44,5909,1035,2365,1670,142,39,5909,1294,4528,1741,143,35,5322,63,2993,1828,172.28571428571428,37.42857142857143,4809.428571428572,649,2725.4285714285716,1645.5714285714287,-0.7002031419544176,0.4089854490658723,1.6012664812014488,-0.5834127040872267,1.2237288992456126,0.8344493054050613,1
